** FASE 1: Generazione dei 6-subset a distanza casuale (5)
 373 [3]: (00096A) 100101101010 {b, d, f, g, i, l}
 374 [3]: (0009AA) 100110101010 {b, d, f, h, i, l}
 375 [3]: (000A6A) 101001101010 {b, d, f, g, j, l}
 376 [3]: (000AAA) 101010101010 {b, d, f, h, j, l}
 377 [3]: (000B2A) 101100101010 {b, d, f, i, j, l}
 378 [3]: (000C6A) 110001101010 {b, d, f, g, k, l}
 379 [3]: (000CAA) 110010101010 {b, d, f, h, k, l}
 380 [3]: (000D2A) 110100101010 {b, d, f, i, k, l}
 381 [3]: (000E2A) 111000101010 {b, d, f, j, k, l}
 382 [3]: (0001E9) 000111101001 {a, d, f, g, h, i}
 383 [3]: (0002E9) 001011101001 {a, d, f, g, h, j}
 384 [3]: (000369) 001101101001 {a, d, f, g, i, j}
 385 [3]: (0003A9) 001110101001 {a, d, f, h, i, j}
 386 [3]: (0004E9) 010011101001 {a, d, f, g, h, k}
 387 [3]: (000569) 010101101001 {a, d, f, g, i, k}
 388 [3]: (0005A9) 010110101001 {a, d, f, h, i, k}
